2024/12/17 08:41:21.632 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS08965, spec=gm05066
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS08320, spec=gm04274
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09265, spec=gm05061
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09445, spec=gm05066
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08985, spec=gm08549
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08295, spec=gm10478
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09525, spec=lcb
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09560, spec=lcw
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08465, spec=lcx
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1677, order=0, coreidx1=1179, coreidx2=1179
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=2402, name=2402
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS08365, spec=gm04274
2024/12/17 08:41:21.648 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09305, spec=gm05061
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09485, spec=gm05066
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS09040, spec=gm08549
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08335, spec=gm10478
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09565, spec=lcb
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09600, spec=lcw
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08505, spec=lcx
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=2402, order=0, coreidx1=1187, coreidx2=1187
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=713, name=713
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS08225, spec=gm04274
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09175, spec=gm05061
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09355, spec=gm05066
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08890, spec=gm08549
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08200, spec=gm10478
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09435, spec=lcb
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09470, spec=lcw
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08375, spec=lcx
2024/12/17 08:41:21.649 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=713, order=0, coreidx1=1162, coreidx2=1162
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=758, name=758
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07995, spec=gm04274
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09015, spec=gm05061
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09195, spec=gm05066
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08680, spec=gm08549
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08020, spec=gm10478
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09275, spec=lcb
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09310, spec=lcw
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08215, spec=lcx
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=758, order=0, coreidx1=1132, coreidx2=1132
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1422, name=1422
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07555, spec=gm04274
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS08575, spec=gm05061
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS08755, spec=gm05066
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08230, spec=gm08549
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07575, spec=gm10478
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS08835, spec=lcb
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS08855, spec=lcw
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS07785, spec=lcx
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1422, order=0, coreidx1=1049, coreidx2=1049
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=331, name=331
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07630, spec=gm04274
2024/12/17 08:41:21.650 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS08645, spec=gm05061
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS08825, spec=gm05066
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08310, spec=gm08549
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07650, spec=gm10478
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS08905, spec=lcb
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS08925, spec=lcw
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS07855, spec=lcx
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=331, order=0, coreidx1=1063, coreidx2=1063
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1441, name=1441
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07520, spec=gm04274
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS08540, spec=gm05061
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS08720, spec=gm05066
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08195, spec=gm08549
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07540, spec=gm10478
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.651 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS08800, spec=lcb
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS08820, spec=lcw
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS07470, spec=lcx
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1441, order=0, coreidx1=1042, coreidx2=1042
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1160, name=1160
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07880, spec=gm04274
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS08900, spec=gm05061
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09080, spec=gm05066
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08575, spec=gm08549
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07915, spec=gm10478
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09160, spec=lcb
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09195, spec=lcw
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08105, spec=lcx
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1160, order=0, coreidx1=1112, coreidx2=1112
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=989, name=989
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS07845, spec=gm04274
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=989, order=0, coreidx1=1105, coreidx2=1105
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS08865, spec=gm05061
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=989, order=0, coreidx1=1105, coreidx2=1105
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09045, spec=gm05066
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=989, order=0, coreidx1=1105, coreidx2=1105
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08540, spec=gm08549
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=989, order=0, coreidx1=1105, coreidx2=1105
2024/12/17 08:41:21.652 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07880, spec=gm10478
